source,target,weight,distance,n_item
AI authorship,Artificial intelligence,0.5,2.0,1
AI authorship,Natural language processing,0.5,2.0,1
AI in archives,AI in libraries,2.0,0.5,2
AI legal scholarship,AI literacy,0.25,4.0,1
AI legal scholarship,Law,0.25,4.0,1
AI legal scholarship,Regulation,0.25,4.0,1
AI legal scholarship,Research integrity,0.25,4.0,1
AI literacy,Cultural heritage,1.0,1.0,1
AI literacy,Education,0.8333333333333333,1.2000000000000002,2
AI literacy,Generative artificial intelligence,1.3333333333333333,0.75,3
AI literacy,data literacy,0.3333333333333333,3.0,1
AI literacy,Artificial intelligence,1.0,1.0,1
AI literacy,Law,0.25,4.0,1
AI literacy,Regulation,0.25,4.0,1
AI literacy,Research integrity,0.25,4.0,1
AI literacy,GLAM institutions,0.5,2.0,1
AI models,Benchmarking,0.25,4.0,1
AI models,Education,0.25,4.0,1
AI models,Generative artificial intelligence,0.25,4.0,1
AI models,Responsible AI,0.41666666666666663,2.4000000000000004,2
AI models,AI systems,0.16666666666666666,6.0,1
AI models,Artificial intelligence,0.16666666666666666,6.0,1
AI models,Law,0.16666666666666666,6.0,1
AI models,Regulation,0.16666666666666666,6.0,1
AI models,Risk management,0.16666666666666666,6.0,1
AI regulation,Copyright,0.25,4.0,1
AI regulation,Generative artificial intelligence,0.25,4.0,1
AI regulation,Law,0.25,4.0,1
AI regulation,Regulation,0.25,4.0,1
AI regulation,Artificial intelligence,0.25,4.0,1
AI regulation,EU AI Act,0.25,4.0,1
AI regulation,ISO standards,0.25,4.0,1
AI regulation,Risk management,0.25,4.0,1
AI systems,ISO standards,0.5,2.0,1
AI systems,Risk management,0.6666666666666666,1.5,2
AI systems,Artificial intelligence,0.16666666666666666,6.0,1
AI systems,Law,0.16666666666666666,6.0,1
AI systems,Regulation,0.16666666666666666,6.0,1
AI systems,Responsible AI,0.16666666666666666,6.0,1
AI systems,Libraries,1.0,1.0,1
Archives,Artificial intelligence,1.25,0.8,3
Archives,Metadata,0.5,2.0,1
Archives,Digital humanities,0.5,2.0,1
Archives,Cultural heritage,0.25,4.0,1
Archives,Handwritten text recognition,0.25,4.0,1
Archives,Libraries,0.5,2.0,2
Archives,Generative artificial intelligence,0.25,4.0,1
Archives,Large language models,0.25,4.0,1
Archives,Museums,0.25,4.0,1
Artificial intelligence,Digital libraries,0.5333333333333333,1.875,2
Artificial intelligence,Digitisation,0.3333333333333333,3.0,1
Artificial intelligence,Handwritten text recognition,0.7833333333333333,1.2765957446808511,3
Artificial intelligence,ChatGPT,0.8333333333333333,1.2000000000000002,2
Artificial intelligence,History,0.5333333333333333,1.875,2
Artificial intelligence,Risk management,1.75,0.5714285714285714,5
Artificial intelligence,Museums,0.5,2.0,1
Artificial intelligence,Regulation,0.6666666666666666,1.5,2
Artificial intelligence,Natural language processing,1.5,0.6666666666666666,2
Artificial intelligence,Digital humanities,3.0,0.3333333333333333,4
Artificial intelligence,Ethics,1.5,0.6666666666666666,3
Artificial intelligence,Libraries,1.75,0.5714285714285714,4
Artificial intelligence,Automatic transcription,0.7,1.4285714285714286,2
Artificial intelligence,Medieval manuscripts,0.2,5.0,1
Artificial intelligence,Dewey Decimal Classification,1.0,1.0,1
Artificial intelligence,Cataloguing,0.5,2.0,1
Artificial intelligence,Metadata,0.5,2.0,1
Artificial intelligence,Philosophy,2.5,0.4,3
Artificial intelligence,Public administration,1.0,1.0,1
Artificial intelligence,Cultural heritage,0.25,4.0,1
Artificial intelligence,Law,0.16666666666666666,6.0,1
Artificial intelligence,Responsible AI,0.16666666666666666,6.0,1
Artificial intelligence,Large language models,0.5,2.0,1
Artificial intelligence,Research integrity,0.5,2.0,1
Artificial intelligence,ISO standards,0.75,1.3333333333333333,2
Artificial intelligence,Higher education,0.5,2.0,1
Artificial intelligence,Open letter,0.5,2.0,1
Artificial intelligence,Multidisciplinary approach,0.5,2.0,1
Artificial intelligence,Gender bias,0.5,2.0,1
Artificial intelligence,Narratology,0.5,2.0,1
Artificial intelligence,Digital scholarly editions,0.5,2.0,1
Artificial intelligence,EU AI Act,0.25,4.0,1
Automatic transcription,Digital libraries,0.2,5.0,1
Automatic transcription,Handwritten text recognition,0.2,5.0,1
Automatic transcription,History,0.2,5.0,1
Automatic transcription,Medieval manuscripts,0.2,5.0,1
Automatic transcription,Digital scholarly editions,0.5,2.0,1
Benchmarking,Education,0.25,4.0,1
Benchmarking,Generative artificial intelligence,0.25,4.0,1
Benchmarking,Responsible AI,0.25,4.0,1
Benchmarking,Linguistics,0.5,2.0,1
Benchmarking,Natural language processing,0.5,2.0,1
Benchmarking,Text,1.0,1.0,1
Benchmarking,LLM evaluation,1.5,0.6666666666666666,2
Benchmarking,Datasets,0.5,2.0,1
Benchmarking,Evaluation,0.5,2.0,1
Benchmarking,Digital humanities,0.5,2.0,1
Benchmarking,History,1.0,1.0,1
Bias,Disability,0.8333333333333333,1.2000000000000002,2
Bias,Large language models,1.8333333333333333,0.5454545454545455,3
Bias,Inclusion,0.3333333333333333,3.0,1
Cataloguing,Libraries,0.5,2.0,1
Cataloguing,Large language models,1.0,1.0,1
Cataloguing,ChatGPT,0.5,2.0,1
Cataloguing,Library of Congress Subject Headings,0.5,2.0,1
ChatGPT,History,0.3333333333333333,3.0,1
ChatGPT,Risk management,0.3333333333333333,3.0,1
ChatGPT,Large language models,0.5,2.0,1
ChatGPT,Philosophy,1.0,1.0,2
ChatGPT,Generative artificial intelligence,1.0,1.0,1
ChatGPT,Library of Congress Subject Headings,1.0,1.0,2
ChatGPT,Dewey Decimal Classification,0.5,2.0,1
Copyright,Generative artificial intelligence,0.25,4.0,1
Copyright,Law,1.25,0.8,2
Copyright,Regulation,0.25,4.0,1
Cultural heritage,Digitisation,0.25,4.0,1
Cultural heritage,GLAM institutions,0.75,1.3333333333333333,2
Cultural heritage,Generative artificial intelligence,0.25,4.0,1
Cultural heritage,Law,0.25,4.0,1
Cultural heritage,Handwritten text recognition,0.25,4.0,1
Cultural heritage,Libraries,0.25,4.0,1
Cultural heritage,Large language models,0.5,2.0,1
Datasets,Handwritten text recognition,1.0,1.0,1
Datasets,Evaluation,0.5,2.0,1
Dewey Decimal Classification,Library of Congress Subject Headings,0.5,2.0,1
Digital humanities,Machine learning,1.0,1.0,1
Digital humanities,Large language models,0.5,2.0,1
Digital humanities,LLM evaluation,0.5,2.0,1
Digital libraries,Digitisation,0.3333333333333333,3.0,1
Digital libraries,Handwritten text recognition,0.5333333333333333,1.875,2
Digital libraries,History,0.2,5.0,1
Digital libraries,Medieval manuscripts,0.2,5.0,1
Digital scholarly editions,Machine learning,1.0,1.0,1
Digital scholarly editions,Evaluation,1.0,1.0,1
Digitisation,Handwritten text recognition,0.3333333333333333,3.0,1
Digitisation,GLAM institutions,0.25,4.0,1
Digitisation,Generative artificial intelligence,0.25,4.0,1
Digitisation,Law,0.25,4.0,1
Disability,Large language models,0.8333333333333333,1.2000000000000002,2
Disability,Inclusion,0.3333333333333333,3.0,1
EU AI Act,ISO standards,0.25,4.0,1
EU AI Act,Risk management,0.25,4.0,1
EU AI Act,Law,1.0,1.0,1
Education,Generative artificial intelligence,2.4166666666666665,0.4137931034482759,6
Education,data literacy,0.8333333333333333,1.2000000000000002,2
Education,Responsible AI,0.25,4.0,1
Education,Higher education,0.5,2.0,1
Education,Ethics,0.3333333333333333,3.0,1
Education,Risk management,0.3333333333333333,3.0,1
Epigraphy,Machine learning,2.0,0.5,2
Ethics,Philosophy,1.5,0.6666666666666666,2
Ethics,Technological humanism,1.5,0.6666666666666666,2
Ethics,Libraries,1.0,1.0,2
Ethics,Generative artificial intelligence,0.8333333333333333,1.2000000000000002,2
Ethics,Risk management,0.3333333333333333,3.0,1
Ethics,Multidisciplinary approach,0.5,2.0,1
Ethics,Large language models,0.5,2.0,1
GLAM institutions,Generative artificial intelligence,0.75,1.3333333333333333,2
GLAM institutions,Law,0.25,4.0,1
GLAM institutions,Large language models,0.5,2.0,1
Gender bias,Narratology,0.5,2.0,1
Generative artificial intelligence,Law,0.5,2.0,2
Generative artificial intelligence,data literacy,0.8333333333333333,1.2000000000000002,2
Generative artificial intelligence,Regulation,0.25,4.0,1
Generative artificial intelligence,Responsible AI,0.25,4.0,1
Generative artificial intelligence,Higher education,0.5,2.0,1
Generative artificial intelligence,Large language models,1.75,0.5714285714285714,3
Generative artificial intelligence,Libraries,0.25,4.0,1
Generative artificial intelligence,Museums,0.25,4.0,1
Generative artificial intelligence,Risk management,0.3333333333333333,3.0,1
Generative artificial intelligence,Multidisciplinary approach,0.5,2.0,1
Generative artificial intelligence,Text,0.5,2.0,1
Graphematics,Handwritten text recognition,0.5,2.0,1
Graphematics,Machine learning,1.5,0.6666666666666666,2
Handwritten text recognition,Medieval manuscripts,0.7,1.4285714285714286,2
Handwritten text recognition,Metadata,0.5,2.0,1
Handwritten text recognition,Machine learning,1.5,0.6666666666666666,2
Handwritten text recognition,History,0.7,1.4285714285714286,2
Handwritten text recognition,Libraries,0.25,4.0,1
Handwritten text recognition,LLM evaluation,0.5,2.0,1
Higher education,Open letter,0.5,2.0,1
History,Risk management,0.3333333333333333,3.0,1
History,History of digital humanities,0.3333333333333333,3.0,1
History,Natural language processing,0.8333333333333333,1.2000000000000002,2
History,digital lexicography,0.8333333333333333,1.2000000000000002,2
History,Medieval manuscripts,0.2,5.0,1
History,LLM evaluation,0.5,2.0,1
History of digital humanities,Philology,0.5,2.0,1
History of digital humanities,Philosophy,1.5,0.6666666666666666,2
History of digital humanities,Natural language processing,0.3333333333333333,3.0,1
History of digital humanities,digital lexicography,0.3333333333333333,3.0,1
ISO standards,Risk management,1.25,0.8,3
ISO standards,Responsible AI,1.0,1.0,1
Inclusion,Large language models,1.3333333333333333,0.75,2
LLM evaluation,Large language models,0.5,2.0,1
LLM evaluation,Philosophy,0.5,2.0,1
Large language models,Machine learning,0.5,2.0,1
Large language models,Social sciences,0.5,2.0,1
Large language models,Philosophy,3.0,0.3333333333333333,4
Large language models,Memorization,1.0,1.0,2
Large language models,Ontologies,1.0,1.0,2
Large language models,Natural language processing,1.0,1.0,1
Large language models,Libraries,0.25,4.0,1
Large language models,Museums,0.25,4.0,1
Law,Regulation,2.1666666666666665,0.46153846153846156,5
Law,Public administration,0.5,2.0,1
Law,Research integrity,0.25,4.0,1
Law,Responsible AI,0.16666666666666666,6.0,1
Law,Risk management,0.16666666666666666,6.0,1
Libraries,Museums,0.25,4.0,1
Linguistics,Natural language processing,0.5,2.0,1
Literary studies,Narratology,2.0,0.5,2
Machine learning,Social sciences,0.5,2.0,1
Medieval manuscripts,Metadata,0.5,2.0,1
Memorization,Ontologies,1.0,1.0,2
Multidisciplinary approach,Text,0.5,2.0,1
Museums,Regulation,0.5,2.0,1
Natural language processing,digital lexicography,0.8333333333333333,1.2000000000000002,2
Peer review,Prompt injection,1.0,1.0,1
Peer review,Scholarly publishing,1.0,1.0,1
Philology,Philosophy,0.5,2.0,1
Philosophy,Technological humanism,0.5,2.0,1
Public administration,Regulation,0.5,2.0,1
Regulation,Research integrity,0.25,4.0,1
Regulation,Responsible AI,0.16666666666666666,6.0,1
Regulation,Risk management,0.16666666666666666,6.0,1
Research integrity,Risk management,0.5,2.0,1
Responsible AI,Risk management,0.16666666666666666,6.0,1
